question_number,option_count,question_text,question_length,question_space_count,correct_answer_numbers,image,keyword,option1,option1_length,option2,option2_length,option3,option3_length,option4,option4_length,correct_answer_text,Required,short_last_option,rules
127,3,"Theo Luật Phòng chống tác hại của rượu, bia, đối tượng nào dưới đây bị cấm sử dụng rượu, bia khi tham gia giao thông?",117,24,[1],False,giao thông,"Người điều khiển xe ô tô, xe mô tô, xe đạp, xe gắn máy.",55,Người được chở trên xe cơ giới.,31,Cả hai ý trên.,14,,0,"Người điều khiển xe ô tô, xe mô tô, xe đạp, xe gắn máy.",False,True,ルール4b
132,3,Người có Giấy phép lái xe mô tô hạng A1 không được phép điều khiển loại xe nào dưới đây?,88,19,[2],False,xe mô tô,Xe mô tô hai bánh có dung tích xi-lanh 125 cm3 hoặc có công suất động cơ điện đến 11 kW.,88,Xe mô tô ba bánh.,17,Cả hai ý trên.,14,,0,Xe mô tô ba bánh.,False,True,ルール4b
135,3,"Việc sử dụng xe mô tô, xe gắn máy, xe thô sơ để vận chuyển hành khách, hàng hóa phải thực hiện các quy định nào dưới đây để đảm bảo an toàn giao thông?",151,34,[3],False,xe mô tô,Kiểm tra điều kiện bảo đảm an toàn của xe trước khi tham gia giao thông đường bộ; mang đủ giấy tờ theo quy định của pháp luật.,126,"Kiểm tra việc sắp xếp hàng hóa bảo đảm an toàn; không chở quá số người, chở hành lý, hàng hoá vượt quá khối lượng cho phép hoặc vượt quá khổ giới hạn của xe.",157,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
137,3,"Muốn vượt xe phía trước, người lái xe mô tô phải có tín hiệu như thế nào dưới đây để bảo đảm an toàn?",101,23,[3],False,xe mô tô,Bấm còi liên tục để xe phía trước biết xe mình xin vượt.,56,Rú ga liên tục để xe phía trước biết xe mình xin vượt.,54,Báo hiệu nhấp nháy bằng đèn chiếu sáng phía trước hoặc còi.,59,,0,Báo hiệu nhấp nháy bằng đèn chiếu sáng phía trước hoặc còi.,False,False,ルール8
140,3,Hành vi nào sau đây bị nghiêm cấm?,34,7,[3],False,cấm,"Điều khiển xe cơ giới lạng lách, đánh võng, rú ga liên tục khi tham gia giao thông trên đường.",94,"Xúc phạm, đe dọa, cản trở, chống đối hoặc không chấp hành hiệu lệnh, hướng dẫn, yêu cầu kiểm tra, kiểm soát của người thi hành công vụ về bảo đảm trật tự, an toàn giao thông đường bộ.",183,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
142,3,Khổ giới hạn của đường bộ được hiểu như thế nào là đúng?,56,12,[1],False,đường bộ,"Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng, chiều cao của đường bộ để các xe, bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn, tiêu chuẩn kỹ thuật của đường bộ.",232,"Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.",153,"Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, hầm trên đường bộ để các xe đi qua được an toàn.",118,,0,"Khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều rộng, chiều cao của đường bộ để các xe, bao gồm cả hàng hoá xếp trên xe đi qua được an toàn và được xác định theo quy chuẩn, tiêu chuẩn kỹ thuật của đường bộ.",False,False,ルール5
145,3,Người lái xe được phép vượt xe khác về bên phải trong trường hợp nào dưới đây?,78,16,[1],False,vượt,Xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái hoặc khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái.,128,Xe phía trước đang đi sát lề đường bên trái.,44,Cả hai ý trên.,14,,0,Xe phía trước có tín hiệu rẽ trái hoặc đang rẽ trái hoặc khi xe chuyên dùng đang làm việc trên đường mà không thể vượt bên trái.,False,True,ルール4a
146,3,Những thói quen nào dưới đây khi điều khiển xe mô tô tay ga tham gia giao thông dễ gây tai nạn nguy hiểm?,105,23,[3],False,xe mô tô,Sử dụng còi.,12,Phanh đồng thời cả phanh trước và phanh sau.,44,Chỉ sử dụng phanh trước.,24,,0,Chỉ sử dụng phanh trước.,False,False,ルール6
147,3,"Theo tín hiệu đèn, xe nào phải dừng lại là đúng quy tắc giao thông?",67,14,[3],False,giao thông,"Xe khách, xe mô tô.",19,"Xe tải, xe mô tô.",17,"Xe con, xe tải.",15,,0,"Xe con, xe tải.",False,False,ルール8
148,3,"Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông?",148,29,[1],False,giao thông,Phải nhường đường cho xe đi đến từ bên phải.,44,"Xe báo hiệu xin đường trước, xe đó được đi trước.",49,Phải nhường đường cho xe đi đến từ bên trái.,44,,0,Phải nhường đường cho xe đi đến từ bên phải.,False,False,ルール8
150,3,Các xe đi theo thứ tự nào là đúng quy tắc giao thông đường bộ?,62,14,[3],False,giao thông,"Xe của bạn, xe mô tô, xe đạp.",29,"Xe mô tô, xe đạp, xe của bạn.",29,"Xe đạp, xe mô tô, xe của bạn.",29,,0,"Xe đạp, xe mô tô, xe của bạn.",False,False,ルール8
152,3,Người có Giấy phép lái xe mô tô hạng A được phép điều khiển loại xe nào dưới đây?,81,18,[3],False,xe mô tô,Xe mô tô hai bánh có dung tích xi-lanh đến 125 cm3 hoặc có công suất động cơ điện đến 11 kW.,92,Xe mô tô hai bánh có dung tích xi-lanh trên 125 cm3 hoặc có công suất động cơ điện trên 11 kW.,94,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
154,3,"Khi lái xe trong đô thị và khu đông dân cư trong thời gian từ 22 giờ ngày hôm trước đến 05 giờ ngày hôm sau, nếu cần vượt một xe khác, người lái xe phải báo hiệu như thế nào là đúng quy tắc giao thông?",201,46,[3],False,giao thông,Chỉ được báo hiệu bằng còi.,27,Phải báo hiệu bằng cả còi và đèn.,33,Chỉ được báo hiệu bằng đèn.,27,,0,Chỉ được báo hiệu bằng đèn.,False,False,ルール8
155,3,"Tại đường ngang, cầu chung đường sắt, khi có hiệu lệnh của nhân viên gác chắn, đèn đỏ sáng nhấp nháy, chuông kêu, chắn đường bộ đang dịch chuyển hoặc đã đóng, người tham gia giao thông đường bộ phải làm gì để bảo đảm an toàn?",225,46,[3],False,giao thông,"Dừng lại về bên trái đường của mình, trước vạch dừng xe.",56,"Dừng lại giữa đường của mình, trước vạch dừng xe.",49,"Dừng lại về bên phải đường của mình, trước vạch dừng xe.",56,,0,"Dừng lại về bên phải đường của mình, trước vạch dừng xe.",False,False,ルール8
156,3,"Người lái xe phải nhanh chóng giảm tốc độ, đi sát lề đường bên phải hoặc dừng lại để nhường đường cho các loại xe nào dưới đây?",127,27,[2],False,tốc độ,"Xe chữa cháy của Cảnh sát phòng cháy, chữa cháy và cứu nạn, cứu hộ và xe chữa cháy của các lực lượng khác; xe của lực lượng quân sự, công an và kiểm sát; đoàn xe có xe Cảnh sát giao thông dẫn đường; xe cứu thương; xe hộ đê không có tín hiệu ưu tiên theo quy định.",263,"Xe ưu tiên gồm xe chữa cháy của Cảnh sát phòng cháy, chữa cháy và cứu nạn, cứu hộ và xe chữa cháy của các lực lượng khác được huy động đi làm nhiệm vụ chữa cháy; xe của lực lượng quân sự, công an và kiểm sát đi làm nhiệm vụ khẩn cấp; đoàn xe có xe Cảnh sát giao thông dẫn đường; xe cứu thương đi làm nhiệm vụ cấp cứu; xe hộ đê đi làm nhiệm vụ; xe đi làm nhiệm vụ cứu nạn, cứu hộ, khắc phục sự cố thiên tai, dịch bệnh hoặc xe đi làm nhiệm vụ trong tình trạng khẩn cấp theo quy định của pháp luật; đoàn xe tang.",509,"Xe ô tô, xe máy, đoàn xe đang diễu hành có tổ chức có báo tín hiệu xin vượt bằng còi và đèn.",92,,0,"Xe ưu tiên gồm xe chữa cháy của Cảnh sát phòng cháy, chữa cháy và cứu nạn, cứu hộ và xe chữa cháy của các lực lượng khác được huy động đi làm nhiệm vụ chữa cháy; xe của lực lượng quân sự, công an và kiểm sát đi làm nhiệm vụ khẩn cấp; đoàn xe có xe Cảnh sát giao thông dẫn đường; xe cứu thương đi làm nhiệm vụ cấp cứu; xe hộ đê đi làm nhiệm vụ; xe đi làm nhiệm vụ cứu nạn, cứu hộ, khắc phục sự cố thiên tai, dịch bệnh hoặc xe đi làm nhiệm vụ trong tình trạng khẩn cấp theo quy định của pháp luật; đoàn xe tang.",False,True,ルール6
158,3,Phương tiện giao thông đường bộ gồm những loại nào?,51,9,[3],False,giao thông,Phương tiện giao thông cơ giới đường bộ.,40,"Phương tiện giao thông thô sơ đường bộ, xe máy chuyên dùng và các loại xe tương tự.",83,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
163,3,Người điều khiển phương tiện tham gia giao thông đường bộ gồm những đối tượng nào dưới đây?,91,17,[3],False,giao thông,"Người điều khiển xe cơ giới, người điều khiển xe thô sơ.",56,Người điều khiển xe máy chuyên dùng.,36,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
170,3,"Người lái xe mô tô hai bánh, xe gắn máy được phép chở tối đa hai người trong những trường hợp nào?",98,21,[1],False,xe mô tô,Chở người bệnh đi cấp cứu; áp giải người có hành vi vi phạm pháp luật; trẻ em dưới 12 tuổi; người già yếu hoặc người khuyết tật.,128,"Người đã uống rượu, bia; người trong cơ thể có chất ma tuý.",59,Cả hai ý trên.,14,,0,Chở người bệnh đi cấp cứu; áp giải người có hành vi vi phạm pháp luật; trẻ em dưới 12 tuổi; người già yếu hoặc người khuyết tật.,False,True,ルール4a
173,3,Người có giấy phép lái xe đã bị trừ hết điểm phải làm gì để phục hồi điểm giấy phép lái xe?,91,21,[2],False,giấy phép,"Không vi phạm pháp luật trật tự, an toàn giao thông đường bộ trong thời gian 12 tháng kể từ ngày bị trừ hết điểm.",113,"Sau thời hạn ít nhất là 06 tháng kể từ ngày bị trừ hết điểm, người có phép lái xe được tham gia kiểm tra nội dung kiến thức pháp luật về trật tự, an toàn giao thông đường bộ theo quy định, có kết quả đạt yêu cầu thì được phục hồi đủ 12 điểm.",241,Cả hai ý trên.,14,,0,"Sau thời hạn ít nhất là 06 tháng kể từ ngày bị trừ hết điểm, người có phép lái xe được tham gia kiểm tra nội dung kiến thức pháp luật về trật tự, an toàn giao thông đường bộ theo quy định, có kết quả đạt yêu cầu thì được phục hồi đủ 12 điểm.",False,True,ルール4a
175,3,"Việc sản xuất, sử dụng, mua, bán trái phép biển số xe có bị nghiêm cấm hay không?",81,17,[2],False,biển,Không bị nghiêm cấm.,20,Bị nghiêm cấm.,14,Bị nghiêm cấm tuỳ trường hợp.,29,,0,Bị nghiêm cấm.,False,False,ルール8
179,3,Nơi nào cấm quay đầu xe?,24,5,[3],False,cấm,"Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, gầm cầu vượt, ngầm.",83,"Tại nơi đường bộ giao nhau cùng mức với đường sắt, đường hẹp, đường dốc, đoạn đường cong tầm nhìn bị che khuất, trên đường cao tốc, trong hầm đường bộ, trên đường một chiều.",173,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
181,3,Khi hiệu lệnh của người điều khiển giao thông trái với tín hiệu đèn giao thông hoặc biển báo hiệu đường bộ thì người tham gia giao thông đường bộ phải chấp hành báo hiệu đường bộ nào dưới đây?,192,39,[1],False,biển,Theo hiệu lệnh của người điều khiển giao thông.,47,Theo tín hiệu đèn giao thông.,29,Theo biển báo hiệu đường bộ.,28,,0,Theo hiệu lệnh của người điều khiển giao thông.,False,False,ルール6
185,3,"Tại nơi đường giao nhau có báo hiệu đi theo vòng xuyến, người lái xe phải nhường đường như thế nào là đúng quy tắc giao thông?",126,26,[2],False,giao thông,Nhường đường cho xe đi đến từ bên phải.,39,Nhường đường cho xe đi đến từ bên trái.,39,Không phải nhường đường.,24,,0,Nhường đường cho xe đi đến từ bên trái.,False,False,ルール8
189,3,Hai biển này có ý nghĩa như thế nào?,36,8,[1],False,biển,Để chỉ nơi đường sắt giao vuông góc với đường bộ không có rào chắn.,67,"Để báo trước sắp đến vị trí giao cắt đường bộ với đường sắt cùng mức, không vuông góc và không có người gác, không có rào chắn.",127,Nơi đường sắt giao nhau với đường bộ.,37,,0,Để chỉ nơi đường sắt giao vuông góc với đường bộ không có rào chắn.,False,False,ルール8
190,3,Các xe đi theo thứ tự nào là đúng quy tắc giao thông đường bộ?,62,14,[2],False,giao thông,"Xe của bạn, xe mô tô, xe con.",29,"Xe con, xe của bạn, xe mô tô.",29,"Xe mô tô, xe con, xe của bạn.",29,,0,"Xe con, xe của bạn, xe mô tô.",False,False,ルール8
191,3,Người lái xe sử dụng đèn như thế nào khi đi trên các đoạn đường qua khu đông dân cư có hệ thống chiếu sáng đang hoạt động?,122,27,[3],False,đèn,Chỉ bật đèn chiếu xa (đèn pha).,31,"Bật đèn chiếu xa (đèn pha) khi đường vắng, bật đèn chiếu gần (đèn cốt) khi có xe đi ngược chiều.",96,Chỉ bật đèn chiếu gần (đèn cốt).,32,,0,Chỉ bật đèn chiếu gần (đèn cốt).,False,False,ルール6
192,3,Biển này có ý nghĩa như thế nào?,32,7,[2],False,biển,Cấm dừng xe về hướng bên trái.,30,Cấm dừng và đỗ xe theo hướng bên phải.,38,Được phép đỗ xe và dừng xe theo hướng bên phải.,47,,0,Cấm dừng và đỗ xe theo hướng bên phải.,False,False,ルール7
194,3,Các biện pháp tiết kiệm nhiên liệu khi chạy xe?,47,9,[3],False,biện,Bảo dưỡng xe theo định kỳ và có kế hoạch lộ trình trước khi xe chạy.,68,Kiểm tra áp suất lốp theo quy định và chạy xe với tốc độ phù hợp với tình trạng mặt đường và mật độ giao thông trên đường.,122,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
195,3,Thứ tự xuống phà như thế nào là đúng quy tắc giao thông?,56,12,[2],False,giao thông,"Xe thô sơ, người đi bộ xuống trước, xe cơ giới, xe máy chuyên dùng xuống sau.",77,"Xe cơ giới, xe máy chuyên dùng xuống trước, xe thô sơ, người đi bộ xuống sau.",77,"Xe cơ giới, xe thô sơ xuống trước, xe máy chuyên dùng, người đi bộ xuống sau.",77,,0,"Xe cơ giới, xe máy chuyên dùng xuống trước, xe thô sơ, người đi bộ xuống sau.",False,False,ルール8
196,3,"Khi điều khiển xe qua đường sắt, người lái xe cần phải thực hiện các thao tác nào dưới đây để bảo đảm an toàn?",110,24,[3],False,đường sắt,"Khi có chuông báo hoặc thanh chắn đã hạ xuống, người lái xe phải dừng xe tạm thời đúng khoảng cách an toàn, kéo phanh tay nếu đường dốc hoặc phải chờ lâu",153,"Khi không có chuông báo hoặc thanh chắn không hạ xuống, người lái xe cần phải quan sát nếu thấy đủ điều kiện an toàn thì về số thấp, tăng ga nhẹ và không thay đổi số trong quá trình vượt qua đường sắt để tránh động cơ chết máy cho xe cho vượt qua.",247,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
201,3,"Trên đường bộ, trong khu vực đông dân cư, đường đôi hoặc đường một chiều có từ hai làn xe cơ giới trở lên, xe mô tô hai bánh, ô tô chở người đến 28 chỗ không kể chỗ của người lái xe tham gia giao thông với tốc độ khai thác tối đa cho phép là bao nhiêu?",252,58,[1],False,xe mô tô,60 km/h.,8,50 km/h.,8,40 km/h.,8,,0,60 km/h.,False,False,ルール8
202,3,Người có mặt tại nơi xảy ra vụ tai giao thông đường bộ có trách nhiệm gì dưới đây?,82,18,[1],False,giao thông,"Giúp đỡ, cứu chữa kịp thời người bị nạn; báo tin ngay cho cơ quan Công an, cơ sở khám bệnh, chữa bệnh hoặc Ủy ban nhân dân nơi gần nhất; tham gia bảo vệ hiện trường; tham gia bảo vệ tài sản của người bị nạn; cung cấp thông tin liên quan về vụ tai nạn theo yêu cầu của cơ quan có thẩm quyền.",290,Chụp lại hình ảnh vụ tai nạn (nếu có thiết bị ghi hình) và nhanh chóng rời khỏi hiện trường vụ tai nạn.,103,Cả hai ý trên.,14,,0,"Giúp đỡ, cứu chữa kịp thời người bị nạn; báo tin ngay cho cơ quan Công an, cơ sở khám bệnh, chữa bệnh hoặc Ủy ban nhân dân nơi gần nhất; tham gia bảo vệ hiện trường; tham gia bảo vệ tài sản của người bị nạn; cung cấp thông tin liên quan về vụ tai nạn theo yêu cầu của cơ quan có thẩm quyền.",False,True,ルール4a
205,3,"Khi đèn pha của xe đi ngược chiều gây chói mắt, làm giảm khả năng quan sát trên đường, người lái xe xử lý như thế nào dưới đây để bảo đảm an toàn?",146,33,[1],False,an toàn,"Giảm tốc độ, giữ vững tay lái, nhìn chếch sang lề đường bên phải.",65,Bật đèn pha chiếu xa và giữ nguyên tốc độ.,42,"Tăng tốc độ, bật đèn pha đối diện xe phía trước.",48,,0,"Giảm tốc độ, giữ vững tay lái, nhìn chếch sang lề đường bên phải.",False,False,ルール8
206,3,"Trong các trường hợp dưới đây, để bảo đảm an toàn khi tham gia giao thông, người lái xe mô tô cần thực hiện như thế nào?",120,26,[1],False,xe mô tô,"Phải đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách, không sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính).",166,"Phải đội mũ bảo hiểm khi trời mưa gió hoặc trời quá nắng; có thể sử dụng ô, điện thoại di động, thiết bị âm thanh nhưng phải bảo đảm an toàn.",141,Phải đội mũ bảo hiểm khi cảm thấy mất an toàn giao thông hoặc khi chuẩn bị di chuyển quãng đường xa.,100,,0,"Phải đội mũ bảo hiểm theo đúng quy chuẩn kỹ thuật quốc gia và cài quai đúng quy cách, không sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính).",False,False,ルール5
210,3,Hành vi nào sau đây bị cấm?,27,6,[3],False,cấm,"Lắp đặt, sử dụng thiết bị âm thanh, ánh sáng trên xe cơ giới, xe máy chuyên dùng gây mất trật tự, an toàn giao thông đường bộ.",126,"Cản trở người, phương tiện tham gia giao thông trên đường bộ; ném gạch, đất, đá, cát hoặc vật thể khác vào người, phương tiện đang tham gia giao thông trên đường bộ.",165,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
215,3,"Khi tầm nhìn bị hạn chế bởi sương mù hoặc mưa to, người lái xe phải thực hiện các thao tác nào để bảo đảm an toàn?",114,26,[2],False,an toàn,"Tăng tốc độ, chạy gần xe trước, nhìn đèn hậu để định hướng.",59,"Giảm tốc độ, chạy cách xa xe trước với khoảng cách an toàn, bật đèn sương mù và đèn chiếu gần.",94,"Tăng tốc độ, bật đèn pha vượt qua xe chạy trước.",48,,0,"Giảm tốc độ, chạy cách xa xe trước với khoảng cách an toàn, bật đèn sương mù và đèn chiếu gần.",False,False,ルール6
217,3,"Trong trường hợp này, thứ tự xe đi như thế nào là đúng quy tắc giao thông?",74,16,[2],False,giao thông,"Xe công an đi làm nhiệm vụ khẩn cấp, xe quân sự đi làm nhiệm vụ khẩn cấp, xe con + xe mô tô.",92,"Xe quân sự đi làm nhiệm vụ khẩn cấp, xe công an đi làm nhiệm vụ khẩn cấp, xe con + xe mô tô.",92,"Xe mô tô + xe con, xe quân sự đi làm nhiệm vụ khẩn cấp, xe công an đi làm nhiệm vụ khẩn cấp.",92,,0,"Xe quân sự đi làm nhiệm vụ khẩn cấp, xe công an đi làm nhiệm vụ khẩn cấp, xe con + xe mô tô.",False,False,ルール8
218,3,"Khi chuyển làn đường, người lái xe phải bật đèn tín hiệu báo rẽ như thế nào là đúng quy tắc giao thông?",103,22,[2],False,giao thông,Khi bắt đầu chuyển làn đường.,29,Trước khi thay đổi làn đường.,29,Sau khi thay đổi làn đường.,27,,0,Trước khi thay đổi làn đường.,False,False,ルール8
222,3,"Những trường hợp nào dưới đây không được đi trên đường cao tốc, trừ người, phương tiện giao thông đường bộ và thiết bị phục vụ việc quản lý, bảo trì đường cao tốc?",163,33,[1],False,giao thông,"Xe máy chuyên dùng có tốc độ thiết kế nhỏ hơn tốc độ tối thiểu quy định đối với đường cao tốc, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ, xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô, xe gắn máy, xe thô sơ, người đi bộ.",258,Xe máy chuyên dùng có tốc độ thiết kế lớn hơn tốc độ tối thiểu quy định đối với đường cao tốc.,94,Xe ô tô và xe máy chuyên dùng có tốc độ thiết kế lớn hơn 80 km/h.,65,,0,"Xe máy chuyên dùng có tốc độ thiết kế nhỏ hơn tốc độ tối thiểu quy định đối với đường cao tốc, xe chở người bốn bánh có gắn động cơ, xe chở hàng bốn bánh có gắn động cơ, xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô, xe gắn máy, xe thô sơ, người đi bộ.",False,True,ルール6
225,3,"Khi lái xe trong khu đông dân cư, khu vực cơ sở khám bệnh, chữa bệnh trừ các khu vực có biển cấm sử dụng còi, người lái xe được sử dụng còi trong thời gian nào?",160,36,[2],False,biển,Từ 22 giờ ngày hôm trước đến 05 giờ ngày hôm sau.,49,Từ 05 giờ đến 22 giờ.,21,Từ 23 giờ ngày hôm trước đến 05 giờ sáng hôm sau.,49,,0,Từ 05 giờ đến 22 giờ.,False,False,ルール8
227,3,Người lái xe được hiểu như thế nào là đúng?,43,9,[1],False,hiểu,Là người điều khiển xe cơ giới.,31,Là người điều khiển xe thô sơ.,30,Là người điều khiển xe máy chuyên dùng.,39,,0,Là người điều khiển xe cơ giới.,False,False,ルール7
229,3,"Hành vi đưa xe cơ giới, xe máy chuyên dùng tham gia giao thông đường bộ nào dưới đây bị cấm?",92,20,[3],False,giao thông,Không có chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường.,68,Hết niên hạn sử dụng.,21,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
231,3,Các biển báo này có ý nghĩa như thế nào?,40,9,[1],False,biển,Để báo trước gần tới đoạn đường có hiện tượng đất đá từ trên ta luy dương sụt lở bất ngờ gây nguy hiểm cho xe cộ và người đi đường.,131,"Để báo trước nơi có kết cấu mặt đường rời rạc, khi phương tiện đi qua, làm cho các viên đá, sỏi văng lên gây nguy hiểm và mất an toàn cho người và phương tiện tham gia giao thông.",179,"Để cảnh báo những đoạn nền đường yếu, đoạn đường đang theo dõi lún mà việc vận hành xe ở tốc độ cao có thể gây nguy hiểm.",121,,0,Để báo trước gần tới đoạn đường có hiện tượng đất đá từ trên ta luy dương sụt lở bất ngờ gây nguy hiểm cho xe cộ và người đi đường.,False,False,ルール5
232,3,"Người điều khiển phương tiện tham gia giao thông không được dừng xe, đỗ xe ở những vị trí nào sau đây?",102,21,[3],False,giao thông,"Trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước.",115,Trong phạm vi an toàn của đường sắt.,36,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4a
235,3,"Theo quy định về độ tuổi, người đủ bao nhiêu tuổi trở lên thì được cấp giấy phép lái xe mô tô hai bánh có dung tích xi lanh đến 125 cm3 và xe ô tô chở người đến 8 chỗ (không kể chỗ của người lái xe); xe ô tô tải và ô tô chuyên dùng có khối lượng toàn bộ theo thiết kế đến 3.500 kg?",281,67,[3],False,xe mô tô,16 tuổi.,8,17 tuổi,7,18 tuổi.,8,,0,18 tuổi.,False,False,ルール8
240,3,"Khi điều khiển phương tiện tham gia giao thông, những hành vi nào dưới đây bị nghiêm cấm?",89,17,[3],False,giao thông,Thay đổi tốc độ của xe nhiều lần.,33,Điều khiển phương tiện sau 23 giờ trong ngày.,45,"Lạng lách, đánh võng, rú ga liên tục.",37,,0,"Lạng lách, đánh võng, rú ga liên tục.",False,False,ルール8
242,3,Người tham gia giao thông đường bộ gồm những đối tượng nào?,61,11,[3],False,giao thông,"Người điều khiển, người được chở trên phương tiện tham gia giao thông đường bộ",78,"Người điều khiển, dẫn dắt vật nuôi trên đường bộ; người đi bộ trên đường bộ.",76,Cả hai ý trên.,14,,0,Cả hai ý trên.,False,True,ルール4b
244,3,"Trong hình dưới đây, xe nào chấp hành đúng quy tắc giao thông?",62,12,[2],False,giao thông,"Chỉ xe khách, xe mô tô.",23,Tất cả các loại xe trên.,24,Không xe nào chấp hành đúng quy tắc giao thông.,47,,0,Tất cả các loại xe trên.,False,False,ルール8
245,3,"Theo tín hiệu đèn, xe nào đi là đúng quy tắc giao thông?",56,12,[2],False,giao thông,"Xe khách, xe mô tô.",19,"Xe con, xe tải.",15,"Xe tải, xe mô tô.",17,,0,"Xe con, xe tải.",False,False,ルール8
247,3,Tổ chức đua xe được phép thực hiện khi nào?,43,9,[3],False,chức,Trên đường phố không có người qua lại.,38,Được người dân ủng hộ.,22,Được cơ quan có thẩm quyền cấp phép.,36,,0,Được cơ quan có thẩm quyền cấp phép.,False,False,ルール7
249,3,Biển này có ý nghĩa như thế nào?,32,7,[2],False,biển,Cấm xe cơ giới (trừ xe ưu tiên theo luật định) đi thẳng.,56,Cấm các loại xe cơ giới và xe mô tô (trừ xe ưu tiên theo luật định) đi về bên trái và bên phải.,95,Hướng trái và phải không cấm xe cơ giới.,40,,0,Cấm các loại xe cơ giới và xe mô tô (trừ xe ưu tiên theo luật định) đi về bên trái và bên phải.,False,False,ルール8
